"Supplementary Table 2: NIRVS found in nine arthropod genomes. Following a reciprocal tBLASTn search against the NCBI non-redundant database, details of the virus of origin for each NIRVS were collated using published and unpublished metadata. Possible false positive hits are highlighted in yellow and have not been included in final NIRVS counts elsewhere in the manuscript.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 1,,,,,,,,,,,,,,,
NC_035108,NC_035108_42,297109820,297109128,-692,32%,KM205014,"Mosqueiro virus nucleoprotein, phosphoprotein, hypothetical proteins, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds",9.38E-20,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_43,297787784,297789031,1247,31%,KU248086,"Riverside virus 1 strain RISV-Danube 1, partial genome",1.76E-48,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_44,297852136,297853392,1256,31%,KU248086,"Riverside virus 1 strain RISV-Danube 1, partial genome",1.31E-50,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_45,300874452,300874135,-317,32%,KM205015,"Carajas virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds",7.72E-09,V,Rhabdoviridae,Mononegavirales,Vesiculovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_46,322748292,322749572,1280,42%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",7.98E-105,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_47,380350441,380351076,635,31%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",1.74E-19,V,Rhabdoviridae,Mononegavirales,Tibrovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_48,380363389,380363192,-197,48%,KP642118,"Rhabdoviridae environmental sample clone sfra.cpip_contig6587 nucleocapsid protein gene, complete cds",1.50E-10,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_49,380363686,380363201,-485,34%,KX884423,"Hubei dimarhabdovirus virus 3 strain QTM26149 putative nucleoprotein, hypothetical protein 2, hypothetical protein 3, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds",2.20E-12,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_50,434223113,434222181,-932,36%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",1.23E-24,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_51,461279616,461280509,893,34%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",6.68E-33,V,Rhabdoviridae,Mononegavirales,Tibrovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_52,461307110,461312607,5497,0.325,KU248086,"Riverside virus 1 strain RISV-Danube 1, partial genome",4.92E-49,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_53,461315523,461316767,1244,29%,KP324827,"Ekpoma virus 1 isolate EKV-1, partial genome",1.09E-33,V,Rhabdoviridae,Mononegavirales,Tibrovirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_54,46284637,46286532,1895,75%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_55,83764371,83766221,1850,69%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_56,124928884,124926992,-1892,69%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_57,294498536,294500470,1934,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_58,325445063,325443138,-1925,69%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.52E-179,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_59,372348287,372350182,1895,75%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_60,461246696,461248356,1660,41%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",2.73E-74,V,Unassigned,Mononegavirales,Anphevirus,-,Glycoprotein,Structural
NC_035108,NC_035108_61,461256590,461256235,-355,36%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.25E-20,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_62,461258837,461259895,1058,46%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.32E-74,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_63,461263260,461264276,1016,44%,MF176297,"Culex mononega-like virus 1 strain mos191gb14102 segment 2, complete sequence",2.35E-79,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_64,461694675,461694337,-338,61%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",3.42E-46,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_65,461694827,461694666,-161,65%,MF344596,"Cumbaru virus glycoprotein gene, partial cds",5.43E-13,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_66,469178030,469179035,1005,45%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",1.45E-07,V,Unassigned,Unassigned,Anphevirus,-,Glycoprotein,Structural
NC_035108,NC_035108_67,469210622,469209336,-1286,28%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.05E-08,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_68,469213043,469212414,-629,44%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",4.99E-47,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_69,469246307,469244364,-1943,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_70,302083049,302083567,518,33%,MF344588,"Croada virus strain BR/MT-M07 glycoprotein gene, partial cds",5.98E-09,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_71,461369606,461371489,1883,73%,KJ741267,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",2.41E-95,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035108,NC_035108_72,167745681,167743009,-2672,31%,KY053857,"Scaldis River bee virus glycoprotein (G), putative nucleoprotein (N), and RNA-dependent RNA polymerase (L) genes, complete cds",5.72E-18,V,Unassigned,Mononegavirales,Unassigned,-,L,Non-structural
NC_035108,NC_035108_73,461353264,461354172,908,42%,KU201526,"Aedes anphevirus isolate St Georges nucleoprotein gene, complete cds; and nonfunctional small TMD protein and nonfunctional putative glycoprotein genes, complete sequence",1.15E-111,V,Unassigned,Mononegavirales,Anphevirus,-,Nucleoprotein,Structural
NC_035108,NC_035108_74,86387016,86387630,614,32%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",6.56E-21,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_75,86397829,86398443,614,32%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",6.56E-21,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_76,86400265,86399651,-614,32%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",6.56E-21,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_77,86409023,86408409,-614,32%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",6.56E-21,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_78,86737078,86737692,614,32%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",6.56E-21,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_79,110073857,110073297,-560,30%,KU194360,"Merida virus isolate MERD-Mex07, complete genome",8.86E-18,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_80,147566497,147565790,-707,30%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",3.95E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_81,181328338,181327208,-1130,36%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",2.65E-63,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_82,181342183,181343313,1130,36%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",2.66E-63,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_83,181357906,181356776,-1130,36%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",2.65E-63,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_84,198250828,198251061,233,41%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",1.15E-08,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_85,212290459,212290031,-428,45%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",2.44E-33,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_86,265408751,265407621,-1130,37%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",1.27E-63,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_87,273077552,273076422,-1130,37%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",1.27E-63,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_88,273337334,273336204,-1130,37%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",1.27E-63,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_89,273434735,273433605,-1130,37%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",1.27E-63,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_90,316994990,316996132,1142,37%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",8.62E-65,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_91,317008355,317009497,1142,37%,KU095840,"Tongilchon virus 1 strain A12.2676/ROK/2012, complete genome",8.62E-65,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035108,NC_035108_92,461357974,461358204,230,31%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.70E-21,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
,,,,,,,,,,,,,,,
Aedes aegypti chromosome 3,,,,,,,,,,,,,,,
,,,,,,Characteristics of closest tBLASTn match,,,,,,,,,
Genomic scaffold accession,NIRVS ID,Hit start (nt),Hit end (nt),NIRVS length (nt),Pairwise identity (%) with closest match,GenBank accession,Description ,E-value,Baltimore Class ,Family,Order,Genus,Classification notes,Viral region,Structural/non-structural
NC_035109,NC_035109_49,187589499,187591043,1544,46%,KX882938,"Hubei toti-like virus 10 strain 3mos6210 hypothetical protein 1 and hypothetical protein 2 genes, complete cds",3.17E-143,III,Unassigned,Unassigned,Unassigned,Toti-like,Replicase,Non-structural
NC_035109,NC_035109_7,191324798,191323902,-896,42%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",5.75E-59,IV,Flaviviridae,Unassigned,Flavivirus,-,"C,PrM,M",Structural
NC_035109,NC_035109_8,191335359,191334457,-902,42%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",6.46E-59,IV,Flaviviridae,Unassigned,Flavivirus,-,"C,PrM,M",Structural
NC_035109,NC_035109_9,191323857,191322799,-1058,64%,KU201526,"Xishuangbanna aedes flavivirus, complete genome",3.32E-138,IV,Flaviviridae,Unassigned,Flavivirus,-,E,Structural
NC_035109,NC_035109_10,191334412,191333354,-1058,64%,KU201526,"Xishuangbanna aedes flavivirus, complete genome",3.32E-138,IV,Flaviviridae,Unassigned,Flavivirus,-,E,Structural
NC_035109,NC_035109_11,191321747,191322331,584,69%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",1.13E-66,IV,Flaviviridae,Unassigned,Flavivirus,-,NS1,Non-structural
NC_035109,NC_035109_12,191332263,191333282,1019,67%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",1.96E-131,IV,Flaviviridae,Unassigned,Flavivirus,-,NS1,Non-structural
NC_035109,NC_035109_13,313468414,313468956,542,51%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",1.48E-53,IV,Flaviviridae,Unassigned,Flavivirus,-,"NS1,NS2A",Non-structural
NC_035109,NC_035109_14,313468975,313470192,1217,61%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",1.21E-159,IV,Flaviviridae,Unassigned,Flavivirus,-,"NS1,NS2A",Non-structural
NC_035109,NC_035109_15,313471128,313471856,728,55%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",1.78E-81,IV,Flaviviridae,Unassigned,Flavivirus,-,"NS1,NS2A",Non-structural
NC_035109,NC_035109_16,313471824,313473038,1214,61%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",2.20E-157,IV,Flaviviridae,Unassigned,Flavivirus,-,"NS1,NS2A",Non-structural
NC_035109,NC_035109_17,191321521,191321126,-395,49%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",3.32E-30,IV,Flaviviridae,Unassigned,Flavivirus,-,NS2A,Non-structural
NC_035109,NC_035109_18,191332076,191331681,-395,49%,KX907452,"Menghai flavivirus isolate MHAedFV1, complete genome",3.32E-30,IV,Flaviviridae,Unassigned,Flavivirus,-,NS2A,Non-structural
NC_035109,NC_035109_64,313482267,313483096,829,50%,KX883775,"Hubei virga-like virus 21 strain mosHB236537 hypothetical protein genes, complete cds",1.20E-61,IV,Unassigned,Unassigned,Unassigned,Hepe-Virga like,Replicase,Non-structural
NC_035109,NC_035109_65,313483396,313484860,1464,59%,KX883775,"Hubei virga-like virus 21 strain mosHB236537 hypothetical protein genes, complete cds",7.72E-105,IV,Unassigned,Unassigned,Unassigned,Hepe-Virga like,Replicase,Non-structural
NC_035109,NC_035109_1,105864924,105863656,-1268,34%,KX924631,"Chuvirus Mos8Chu0 segment S glycoprotein and hypothetical protein genes, complete cds",3.93E-72,V,Chuviridae,Unassigned,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_2,98643026,98643322,296,37%,KM817614,"Shuangao Insect Virus 5 strain QSA09 polymerase (L) gene, complete cds",4.27E-16,V,Chuviridae,Unassigned,Unassigned,-,L,Non-structural
NC_035109,NC_035109_3,98643465,98644016,551,64%,KM817598,"Shayang Fly Virus 1 strain SYY3-1 glycoprotein (G), putative nucleoprotein (N), and polymerase (L) genes, complete cds",2.41E-49,V,Chuviridae,Unassigned,Unassigned,-,L,Non-structural
NC_035109,NC_035109_4,98643971,98644564,593,53%,MF893252,"Mogami virus isolate Jap1, partial genome",3.46E-68,V,Chuviridae,Unassigned,Unassigned,-,L,Non-structural
NC_035109,NC_035109_5,98644611,98644871,260,36%,MF893252,"Mogami virus isolate Jap1, partial genome",4.61E-06,V,Chuviridae,Unassigned,Unassigned,-,L,Non-structural
NC_035109,NC_035109_6,98644867,98645136,269,32%,KX884416,"Hubei coleoptera virus 3 strain QCM109726 putative glycoprotein, hypothetical protein, and RNA-dependent RNA polymerase genes, complete cds",5.16E-03,V,Chuviridae,Unassigned,Unassigned,-,L,Non-structural
NC_035109,NC_035109_19,134021100,134022155,1055,80%,KX898491,"Whidbey virus strain UW1 PB1 gene, complete cds",2.16E-42,V,Orthomyxoviridae,Unassigned,Unassigned,-,PB1,Non-structural
NC_035109,NC_035109_20,26696979,26697749,770,34%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",2.09E-41,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_21,105914526,105913219,-1307,26%,JF502614,"Rhabdovirus 024698 glycoprotein gene, complete cds",1.24E-39,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_22,105916440,105915172,-1268,25%,JF502614,"Rhabdovirus 024698 glycoprotein gene, complete cds",3.26E-37,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_23,106024870,106026102,1232,33%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",2.19E-75,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_24,106071080,106072144,1064,64%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",1.24E-41,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_25,106086552,106087289,737,33%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",4.19E-39,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_26,148376340,148375456,-884,33%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",6.52E-50,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_27,191329270,191327816,-1454,29%,MF882997,"Merida-like virus Turkey isolate P431, complete genome",1.49E-40,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_28,191339832,191338348,-1484,29%,MF882997,"Merida-like virus Turkey isolate P431, complete genome",1.42E-40,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_29,313450417,313450701,284,36%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",3.83E-06,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_30,313450788,313451813,1025,35%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",8.41E-61,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_31,313485660,313486994,1334,33%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",7.38E-72,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_32,314194429,314193080,-1349,25%,MG385079,"Rhabdovirus 024698 glycoprotein gene, complete cds",3.00E-37,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_33,314213064,314212342,-722,34%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",7.99E-43,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_34,202290317,202289889,-428,56%,KU248087,"Riverside virus 1 strain RISV-Drava 2, partial genome",3.72E-32,V,Rhabdoviridae,Mononegavirales,Unassigned,-,L,Non-structural
NC_035109,NC_035109_35,191424605,191423889,-716,31%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",4.70E-28,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Matrix protein,Structural
NC_035109,NC_035109_36,72094823,72095860,1037,28%,MF615270,"New Kent County virus isolate RTS126, complete genome",7.33E-23,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035109,NC_035109_37,72178459,72177422,-1037,28%,MF615270,"New Kent County virus isolate RTS126, complete genome",1.42E-22,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035109,NC_035109_38,99452984,99453754,770,37%,LC026102,"Culex tritaeniorhynchus rhabdovirus viral cRNA, complete genome, strain: GHK",2.26E-35,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_39,105731956,105731393,-563,37%,KM205005,"Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds",5.14E-24,V,Rhabdoviridae,Mononegavirales,Hapavirus,-,Nucleoprotein,Structural
NC_035109,NC_035109_40,105972726,105973181,455,27%,AY840978,"Tupaia rhabdovirus, complete genome",1.96E-07,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_41,105990303,105991034,731,28%,MF615270,"New Kent County virus isolate RTS126, complete genome",2.61E-18,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_42,106078814,106079347,533,33%,JX431885,"Flanders virus strain M11750, complete genome",1.06E-08,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_43,106079352,106079807,455,32%,JX297815,"Bas-Congo virus isolate BASV-1 N protein gene, partial cds; P protein, M protein, U1 protein, U2 protein, G protein, and U3 protein genes, complete cds; and L protein gene, partial cds",3.11E-13,V,Rhabdoviridae,Mononegavirales,Ephemerovirus,-,Nucleoprotein,Structural
NC_035109,NC_035109_44,109581682,109582053,371,43%,MG385079,"Grenada mosquito rhabdovirus 1, complete genome",2.29E-20,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_45,148369198,148368503,-695,72%,KR003785,"Phasi Charoen-like virus isolate Rio segment S Nucleocapsid gene, complete cds",3.41E-99,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_46,150632071,150633012,941,42%,KY768856,"Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome",1.73E-73,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_47,217692770,217692363,-407,45%,LC026102,"Culex tritaeniorhynchus rhabdovirus viral cRNA, complete genome, strain: GHK",1.50E-25,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_48,261711289,261711918,629,40%,LC026102,"Culex tritaeniorhynchus rhabdovirus viral cRNA, complete genome, strain: GHK",1.07E-39,V,Rhabdoviridae,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_50,34767382,34765457,-1925,69%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.52E-179,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_51,105862304,105861579,-725,68%,KT966481,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",5.26E-102,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_52,105989433,105990026,593,40%,KX148553,"Gambie virus putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds",1.69E-29,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_53,106082077,106082331,254,51%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",2.44E-18,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_54,154807567,154805903,-1664,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",6.85E-175,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_55,158192296,158190458,-1838,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.43E-176,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_56,191498023,191499015,992,67%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",7.34E-150,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_57,213751991,213753886,1895,75%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",0,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_58,214498221,214498724,503,57%,KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",2.73E-67,V,Unassigned,Mononegavirales,Anphevirus,-,Glycoprotein,Structural
NC_035109,NC_035109_59,214498726,214499334,608,46%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",2.57E-54,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_60,223734231,223732381,-1850,59%,MF344588,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",5.65E-150,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_61,289623490,289621565,-1925,68%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",4.51E-177,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_62,298926349,298924466,-1883,68%,MF344590,"Kaiowa virus strain BrMS-MQ10 putative glycoprotein gene, partial cds",0.00E+00,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_63,312726101,312728026,1925,69%,MF344590,"Kaiowa virus strain BR/MT-M08 glycoprotein gene, partial cds",1.47E-179,V,Unassigned,Mononegavirales,Unassigned,-,Glycoprotein,Structural
NC_035109,NC_035109_66,105845217,105844870,-347,44%,KR003785,"Phasi Charoen-like virus isolate Rio segment S Nucleocapsid gene, complete cds",3.74E-12,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
NC_035109,NC_035109_67,109582723,109583352,629,27%,MF176246,"Culex mononega-like virus 1 strain mos172gb79286 segment 2, complete sequence",5.08E-17,V,Unassigned,Mononegavirales,Unassigned,-,Nucleoprotein,Structural
