Table S5: BLASTp results generated by querying a protein with a Nidovirus-like domain present in dipteran species against the nr database. Results are sorted by E-value.,,,,,,,
,,,,,,,
Aedes aegypti,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
XP_008197566,25.00%,XP_008197566,PREDICTED: uncharacterized protein LOC662064 isoform X1 [Tribolium castaneum],5.98E-19,222,Tribolium castaneum,NW_017856913 - LOC109418001 CDS translation
XP_976409,25.00%,XP_976409,PREDICTED: uncharacterized protein LOC662064 isoform X2 [Tribolium castaneum],6.96E-19,222,Tribolium castaneum,NW_017856913 - LOC109418001 CDS translation
EFA10122,25.00%,EFA10122,hypothetical protein TcasGA2_TC012302 [Tribolium castaneum],7.47E-19,222,Tribolium castaneum,NW_017856913 - LOC109418001 CDS translation
XP_017843422,25.80%,XP_017843422,PREDICTED: uncharacterized protein LOC108600387 [Drosophila busckii],1.96E-18,300,Drosophila busckii,NW_017856913 - LOC109418001 CDS translation
XP_001985171,28.40%,XP_001985171,GH16916 [Drosophila grimshawi],2.25E-18,191,Drosophila grimshawi,NW_017856913 - LOC109418001 CDS translation
YP_007697629,32.10%,YP_007697629,ORF1ab [Hana virus],6.41E-18,191,Hana virus,NW_017856913 - LOC109418001 CDS translation
XP_018799440,28.00%,XP_018799440,PREDICTED: uncharacterized protein LOC108975420 isoform X1 [Bactrocera latifrons],7.21E-18,189,Bactrocera latifrons,NW_017856913 - LOC109418001 CDS translation
YP_007697630,32.10%,YP_007697630,ORF1a [Hana virus],7.25E-18,191,Hana virus,NW_017856913 - LOC109418001 CDS translation
XP_002048501,26.70%,XP_002048501,uncharacterized protein Dvir_GJ14006 [Drosophila virilis],8.11E-18,188,Drosophila virilis,NW_017856913 - LOC109418001 CDS translation
XP_023712229,24.90%,XP_023712229,uncharacterized protein LOC111867008 isoform X3 [Cryptotermes secundus],3.19E-17,232,Cryptotermes secundus,NW_017856913 - LOC109418001 CDS translation
XP_023712226,24.90%,XP_023712226,uncharacterized protein LOC111867008 isoform X1 [Cryptotermes secundus],3.64E-17,232,Cryptotermes secundus,NW_017856913 - LOC109418001 CDS translation
XP_023712227,24.90%,XP_023712227,uncharacterized protein LOC111867008 isoform X2 [Cryptotermes secundus],3.82E-17,232,Cryptotermes secundus,NW_017856913 - LOC109418001 CDS translation
XP_026467019,29.80%,XP_026467019,uncharacterized protein LOC113370551 isoform X2 [Ctenocephalides felis],2.47E-15,174,Ctenocephalides felis,NW_017856913 - LOC109418001 CDS translation
XP_026467018,29.60%,XP_026467018,uncharacterized protein LOC113370551 isoform X1 [Ctenocephalides felis],3.88E-15,174,Ctenocephalides felis,NW_017856913 - LOC109418001 CDS translation
PSN45692,22.30%,PSN45692,hypothetical protein C0J52_11952 [Blattella germanica],6.47E-14,219,Blattella germanica,NW_017856913 - LOC109418001 CDS translation
XP_023027531,24.50%,XP_023027531,uncharacterized protein LOC111515546 [Leptinotarsa decemlineata],2.93E-12,186,Leptinotarsa decemlineata,NW_017856913 - LOC109418001 CDS translation
KRT83002,23.70%,KRT83002,"hypothetical protein AMK59_4127, partial [Oryctes borbonicus]",3.46E-12,231,Oryctes borbonicus,NW_017856913 - LOC109418001 CDS translation
XP_018578697,24.70%,XP_018578697,uncharacterized protein LOC108916872 [Anoplophora glabripennis],4.92E-11,185,Anoplophora glabripennis,NW_017856913 - LOC109418001 CDS translation
XP_018799442,27.30%,XP_018799442,PREDICTED: uncharacterized protein LOC108975420 isoform X2 [Bactrocera latifrons],6.48E-11,139,Bactrocera latifrons,NW_017856913 - LOC109418001 CDS translation
XP_024844686,41.90%,XP_024844686,LOW QUALITY PROTEIN: interleukin enhancer-binding factor 2 homolog [Bos taurus],2.80E-10,74,Bos taurus,NW_017856913 - LOC109418001 CDS translation
XP_015037028,31.10%,XP_015037028,uncharacterized protein Dpse_GA26426 [Drosophila pseudoobscura pseudoobscura],3.76E-10,106,Drosophila pseudoobscura,NW_017856913 - LOC109418001 CDS translation
XP_015364070,23.30%,XP_015364070,PREDICTED: uncharacterized protein LOC107161948 isoform X1 [Diuraphis noxia],7.07E-10,220,Diuraphis noxia,NW_017856913 - LOC109418001 CDS translation
XP_011554940,27.80%,XP_011554940,PREDICTED: uncharacterized protein LOC105386138 isoform X1 [Plutella xylostella],1.63E-09,196,Plutella xylostella,NW_017856913 - LOC109418001 CDS translation
XP_017785995,31.30%,XP_017785995,PREDICTED: uncharacterized protein LOC108569095 [Nicrophorus vespilloides],2.04E-09,156,Nicrophorus vespilloides,NW_017856913 - LOC109418001 CDS translation
XP_011554942,27.90%,XP_011554942,PREDICTED: uncharacterized protein LOC105386138 isoform X2 [Plutella xylostella],4.24E-09,195,Plutella xylostella,NW_017856913 - LOC109418001 CDS translation
XP_013111450,24.10%,XP_013111450,PREDICTED: uncharacterized protein LOC106089976 isoform X2 [Stomoxys calcitrans],5.07E-09,108,Stomoxys calcitrans,NW_017856913 - LOC109418001 CDS translation
XP_021199189,22.90%,XP_021199189,uncharacterized protein LOC110382815 isoform X1 [Helicoverpa armigera],9.81E-09,298,Helicoverpa armigera,NW_017856913 - LOC109418001 CDS translation
PCG71692,23.20%,PCG71692,hypothetical protein B5V51_1597 [Heliothis virescens],1.05E-08,274,Heliothis virescens,NW_017856913 - LOC109418001 CDS translation
PCG71690,23.20%,PCG71690,hypothetical protein B5V51_1597 [Heliothis virescens],1.92E-08,274,Heliothis virescens,NW_017856913 - LOC109418001 CDS translation
XP_018321898,22.70%,XP_018321898,uncharacterized protein LOC108734736 isoform X1 [Agrilus planipennis],2.30E-08,224,Agrilus planipennis,NW_017856913 - LOC109418001 CDS translation
XP_021199190,24.10%,XP_021199190,uncharacterized protein LOC110382815 isoform X2 [Helicoverpa armigera],2.77E-08,189,Helicoverpa armigera,NW_017856913 - LOC109418001 CDS translation
XP_011340523,20.60%,XP_011340523,PREDICTED: uncharacterized protein LOC105281176 isoform X2 [Ooceraea biroi],2.89E-08,189,Ooceraea biroi,NW_017856913 - LOC109418001 CDS translation
XP_011340522,20.60%,XP_011340522,PREDICTED: uncharacterized protein LOC105281176 isoform X1 [Ooceraea biroi],3.03E-08,189,Ooceraea biroi,NW_017856913 - LOC109418001 CDS translation
XP_018321899,22.70%,XP_018321899,uncharacterized protein LOC108734736 isoform X3 [Agrilus planipennis],3.38E-08,224,Agrilus planipennis,NW_017856913 - LOC109418001 CDS translation
XP_013144439,23.10%,XP_013144439,PREDICTED: uncharacterized protein LOC106107953 [Papilio polytes],3.53E-07,260,Papilio polytes,NW_017856913 - LOC109418001 CDS translation
XP_013183461,22.90%,XP_013183461,PREDICTED: uncharacterized protein LOC106129448 isoform X1 [Amyelois transitella],3.77E-07,186,Amyelois transitella,NW_017856913 - LOC109418001 CDS translation
XP_022127815,24.10%,XP_022127815,uncharacterized protein LOC111002024 isoform X2 [Pieris rapae],4.04E-07,298,Pieris rapae,NW_017856913 - LOC109418001 CDS translation
XP_013183462,22.90%,XP_013183462,PREDICTED: uncharacterized protein LOC106129448 isoform X2 [Amyelois transitella],4.26E-07,186,Amyelois transitella,NW_017856913 - LOC109418001 CDS translation
XP_013183463,22.90%,XP_013183463,PREDICTED: uncharacterized protein LOC106129448 isoform X3 [Amyelois transitella],5.46E-07,186,Amyelois transitella,NW_017856913 - LOC109418001 CDS translation
XP_015121915,22.70%,XP_015121915,PREDICTED: uncharacterized protein LOC107044517 isoform X2 [Diachasma alloeum],6.93E-07,194,Diachasma alloeum,NW_017856913 - LOC109418001 CDS translation
XP_022834290,24.50%,XP_022834290,uncharacterized protein LOC111362022 isoform X3 [Spodoptera litura],8.22E-07,229,Spodoptera litura,NW_017856913 - LOC109418001 CDS translation
XP_022834288,24.50%,XP_022834288,uncharacterized protein LOC111362022 isoform X1 [Spodoptera litura],8.92E-07,229,Spodoptera litura,NW_017856913 - LOC109418001 CDS translation
XP_015121914,22.70%,XP_015121914,PREDICTED: uncharacterized protein LOC107044517 isoform X1 [Diachasma alloeum],9.80E-07,194,Diachasma alloeum,NW_017856913 - LOC109418001 CDS translation
XP_022834292,24.50%,XP_022834292,uncharacterized protein LOC111362022 isoform X5 [Spodoptera litura],1.08E-06,229,Spodoptera litura,NW_017856913 - LOC109418001 CDS translation
,,,,,,,
Culex quinquefasciatus,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
XP_001868005,100.00%,XP_001868005,conserved hypothetical protein [Culex quinquefasciatus],0,309,Culex quinquefasciatus,DS232821 - conserved hypothetical protein CDS translation
XP_001657255,53.90%,XP_001657255,uncharacterized protein LOC5579059 [Aedes aegypti],6.64E-65,191,Aedes aegypti,DS232821 - conserved hypothetical protein CDS translation
EAT33730,53.90%,EAT33730,AAEL013999-PA [Aedes aegypti],6.71E-65,191,Aedes aegypti,DS232821 - conserved hypothetical protein CDS translation
KXJ70550,42.80%,KXJ70550,hypothetical protein RP20_CCG023183 [Aedes albopictus],6.60E-62,274,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_019534633,48.10%,XP_019534633,PREDICTED: uncharacterized protein LOC109406026 isoform X4 [Aedes albopictus],4.27E-61,234,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_019534632,48.10%,XP_019534632,PREDICTED: uncharacterized protein LOC109406026 isoform X3 [Aedes albopictus],4.35E-61,234,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_019534631,48.10%,XP_019534631,PREDICTED: uncharacterized protein LOC109406026 isoform X2 [Aedes albopictus],4.69E-61,234,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_019534630,48.10%,XP_019534630,PREDICTED: uncharacterized protein LOC109406026 isoform X1 [Aedes albopictus],4.98E-61,234,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_019547702,42.40%,XP_019547702,PREDICTED: uncharacterized protein LOC109418001 isoform X3 [Aedes albopictus],2.10E-60,274,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_019547701,42.40%,XP_019547701,PREDICTED: uncharacterized protein LOC109418001 isoform X2 [Aedes albopictus],2.86E-60,274,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_019547700,42.40%,XP_019547700,PREDICTED: uncharacterized protein LOC109418001 isoform X1 [Aedes albopictus],3.00E-60,274,Aedes albopictus,DS232821 - conserved hypothetical protein CDS translation
XP_565200,39.30%,XP_565200,AGAP007003-PA [Anopheles gambiae str. PEST],3.67E-43,243,Anopheles gambiae,DS232821 - conserved hypothetical protein CDS translation
ETN66873,39.40%,ETN66873,hypothetical protein AND_001331 [Anopheles darlingi],8.07E-43,237,Anopheles darlingi,DS232821 - conserved hypothetical protein CDS translation
KFB52903,35.90%,KFB52903,hypothetical protein ZHAS_00021182 [Anopheles sinensis],5.53E-41,308,Anopheles sinensis,DS232821 - conserved hypothetical protein CDS translation
AXN69719,39.30%,AXN69719,ORF1 [Alphamesonivirus 1],2.52E-34,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
ASA47343,38.80%,ASA47343,pp1a polyprotein [Ngewotan virus],5.45E-34,192,Ngewotan virus,DS232821 - conserved hypothetical protein CDS translation
YP_009448184,39.20%,YP_009448184,ORF1 [Dianke virus],7.98E-34,200,Dianke virus,DS232821 - conserved hypothetical protein CDS translation
AHA43393,39.30%,AHA43393,pp1a polyprotein [Nam Dinh virus],8.45E-34,192,Nam Dinh,DS232821 - conserved hypothetical protein CDS translation
ASA47342,38.80%,ASA47342,pp1ab polyprotein [Ngewotan virus],1.87E-33,192,Ngewotan virus,DS232821 - conserved hypothetical protein CDS translation
YP_004767306,39.30%,YP_004767306,ORF1a gene product [Nam Dinh virus],2.70E-33,192,Nam Dinh,DS232821 - conserved hypothetical protein CDS translation
AHA43392,39.30%,AHA43392,pp1ab polyprotein [Nam Dinh virus],2.93E-33,192,Nam Dinh,DS232821 - conserved hypothetical protein CDS translation
XP_001985171,29.30%,XP_001985171,GH16916 [Drosophila grimshawi],5.60E-33,284,Drosophila grimshawi,DS232821 - conserved hypothetical protein CDS translation
AWS00997,38.80%,AWS00997,ORF1 [Houston virus],5.80E-33,192,Houston virus,DS232821 - conserved hypothetical protein CDS translation
YP_004767305,39.30%,YP_004767305,ORF1ab gene product [Nam Dinh virus],8.85E-33,192,Nam Dinh,DS232821 - conserved hypothetical protein CDS translation
AGL73185,38.80%,AGL73185,ORF1 [Ngewotan virus],2.20E-32,192,Ngewotan virus,DS232821 - conserved hypothetical protein CDS translation
YP_004598982,38.00%,YP_004598982,replicase polyprotein 1a [Cavally virus],2.31E-32,201,Cavally virus,DS232821 - conserved hypothetical protein CDS translation
AGL73197,34.70%,AGL73197,ORF1 [Kamphang Phet virus],2.88E-32,206,Kamphang Phet,DS232821 - conserved hypothetical protein CDS translation
AGL73191,34.70%,AGL73191,ORF1 [Kamphang Phet virus],2.97E-32,206,Kamphang Phet,DS232821 - conserved hypothetical protein CDS translation
AGL73194,34.70%,AGL73194,ORF1 [Kamphang Phet virus],2.99E-32,206,Kamphang Phet,DS232821 - conserved hypothetical protein CDS translation
AEH26445,38.00%,AEH26445,replicase polyprotein 1ab [Cavally virus],8.30E-32,201,Cavally virus,DS232821 - conserved hypothetical protein CDS translation
YP_004598981,38.00%,YP_004598981,replicase polyprotein 1ab [Cavally virus],8.46E-32,201,Cavally virus,DS232821 - conserved hypothetical protein CDS translation
YP_007697643,39.80%,YP_007697643,ORF1a [Nse virus],1.89E-31,197,Nse virus,DS232821 - conserved hypothetical protein CDS translation
AHG56127,40.30%,AHG56127.1,ORF1a [Nam Dinh virus],3.55E-31,192,Nam Dinh virus,DS232821 - conserved hypothetical protein CDS translation
YP_007697642,39.80%,YP_007697642,ORF1ab [Nse virus],6.49E-31,197,Nse virus,DS232821 - conserved hypothetical protein CDS translation
AXL48266,39.80%,AXL48266,pp1a polyprotein [Alphamesonivirus 1],6.53E-31,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
AXL48230,39.80%,AXL48230,pp1a polyprotein [Alphamesonivirus 1],6.59E-31,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
ALP32022,39.80%,ALP32022,pp1a polyprotein [Alphamesonivirus 1],6.85E-31,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
YP_009505589,34.30%,YP_009505589,pp1a polyprotein [Dak Nong virus],7.34E-31,208,Dak Nong,DS232821 - conserved hypothetical protein CDS translation
ALP32023,39.80%,ALP32023,pp1ab polyprotein [Alphamesonivirus 1],2.32E-30,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
AXL48229,39.80%,AXL48229,pp1ab polyprotein [Alphamesonivirus 1],2.32E-30,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
AXL48235,39.80%,AXL48235,pp1ab polyprotein [Alphamesonivirus 1],2.32E-30,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
AXL48247,39.80%,AXL48247,pp1ab polyprotein [Alphamesonivirus 1],2.35E-30,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
AXL48265,39.80%,AXL48265,pp1ab polyprotein [Alphamesonivirus 1],2.35E-30,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
ASO75604,39.30%,ASO75604,ORF1 [Alphamesonivirus 1],2.97E-30,192,Alphamesonivirus 1,DS232821 - conserved hypothetical protein CDS translation
YP_009026379,36.50%,YP_009026379,ORF 1a [Casuarina virus],3.23E-30,209,Casuarina virus,DS232821 - conserved hypothetical protein CDS translation
AGL73200,39.30%,AGL73200,ORF1 [Houston virus],3.76E-30,192,Houston virus,DS232821 - conserved hypothetical protein CDS translation
AGL73203,39.30%,AGL73203,ORF1 [Houston virus],3.76E-30,192,Houston virus,DS232821 - conserved hypothetical protein CDS translation
AGL73209,39.30%,AGL73209,ORF1 [Houston virus],3.76E-30,192,Houston virus,DS232821 - conserved hypothetical protein CDS translation
AXQ04809,39.30%,AXQ04809,ORF1 [Houston virus],3.94E-30,192,Houston virus,DS232821 - conserved hypothetical protein CDS translation
AGL73206,39.30%,AGL73206,ORF1 [Houston virus],3.98E-30,192,Houston virus,DS232821 - conserved hypothetical protein CDS translation
AXQ04806,39.30%,AXQ04806,ORF1 [Houston virus],3.98E-30,192,Houston virus,DS232821 - conserved hypothetical protein CDS translation
XP_002048501,30.40%,XP_002048501,uncharacterized protein Dvir_GJ14006 [Drosophila virilis],6.27E-30,282,Drosophila virilis,DS232821 - conserved hypothetical protein CDS translation
YP_009026378,36.50%,YP_009026378,ORF 1ab [Casuarina virus],7.63E-30,209,Casuarina virus,DS232821 - conserved hypothetical protein CDS translation
AII17279,39.30%,AII17279,ORF1a [Nam Dinh virus],2.96E-29,192,Nam Dinh,DS232821 - conserved hypothetical protein CDS translation
YP_009505586,35.20%,YP_009505586,ORF1 [Karang Sari virus],1.88E-28,191,Karang Sari,DS232821 - conserved hypothetical protein CDS translation
XP_017843422,30.70%,XP_017843422,PREDICTED: uncharacterized protein LOC108600387 [Drosophila busckii],2.89E-28,248,Drosophila busckii,DS232821 - conserved hypothetical protein CDS translation
XP_023293359,30.10%,XP_023293359,uncharacterized protein LOC111676629 [Lucilia cuprina],5.85E-28,248,Lucilia cuprina,DS232821 - conserved hypothetical protein CDS translation
AVM80373,35.20%,AVM80373,ORF1 [Bontang Baru virus],4.67E-26,191,Bontang Baru,DS232821 - conserved hypothetical protein CDS translation
AGL73173,35.20%,AGL73173,ORF1 [Bontang virus],4.80E-26,191,Bontang virus,DS232821 - conserved hypothetical protein CDS translation
AGL73176,35.20%,AGL73176,ORF1 [Bontang virus],5.75E-26,191,Bontang virus,DS232821 - conserved hypothetical protein CDS translation
XP_011190096,29.30%,XP_011190096,PREDICTED: uncharacterized protein LOC105216994 [Zeugodacus cucurbitae],3.01E-25,183,Zeugodacus cucurbitae,DS232821 - conserved hypothetical protein CDS translation
YP_007697630,32.40%,YP_007697630,ORF1a [Hana virus],3.05E-25,212,Hana virus,DS232821 - conserved hypothetical protein CDS translation
XP_002062358,29.00%,XP_002062358,uncharacterized protein LOC6638941 [Drosophila willistoni],3.39E-25,281,Drosophila willistoni,DS232821 - conserved hypothetical protein CDS translation
YP_007697629,32.40%,YP_007697629,ORF1ab [Hana virus],9.00E-25,212,Hana virus,DS232821 - conserved hypothetical protein CDS translation
XP_004537685,27.70%,XP_004537685,uncharacterized protein LOC101449319 [Ceratitis capitata],2.81E-24,241,Ceratitis capitata,DS232821 - conserved hypothetical protein CDS translation
XP_023178315,29.60%,XP_023178315,uncharacterized protein LOC111604465 [Drosophila hydei],3.14E-24,223,Drosophila hydei,DS232821 - conserved hypothetical protein CDS translation
XP_005180669,27.40%,XP_005180669,PREDICTED: uncharacterized protein LOC101887953 [Musca domestica],1.66E-23,230,Musca domestica,DS232821 - conserved hypothetical protein CDS translation
XP_013111449,28.60%,XP_013111449,PREDICTED: uncharacterized protein LOC106089976 isoform X1 [Stomoxys calcitrans],4.25E-23,182,Stomoxys calcitrans,DS232821 - conserved hypothetical protein CDS translation
XP_017059883,28.30%,XP_017059883,PREDICTED: uncharacterized protein LOC108100465 [Drosophila ficusphila],4.60E-23,274,Drosophila ficusphila,DS232821 - conserved hypothetical protein CDS translation
XP_017861065,29.30%,XP_017861065,PREDICTED: uncharacterized protein LOC108612624 [Drosophila arizonae],7.20E-23,212,Drosophila arizonae,DS232821 - conserved hypothetical protein CDS translation
XP_017089575,29.40%,XP_017089575,PREDICTED: uncharacterized protein LOC108120422 [Drosophila bipectinata],1.67E-22,249,Drosophila bipectinata,DS232821 - conserved hypothetical protein CDS translation
XP_002008755,29.80%,XP_002008755,uncharacterized protein Dmoj_GI13670 [Drosophila mojavensis],1.83E-22,212,Drosophila mojavensis,DS232821 - conserved hypothetical protein CDS translation
CRK90402,28.40%,CRK90402,"CLUMA_CG004016, isoform A [Clunio marinus]",3.17E-22,219,Clunio marinus,DS232821 - conserved hypothetical protein CDS translation
XP_017955411,28.80%,XP_017955411,PREDICTED: uncharacterized protein LOC108650694 [Drosophila navojoa],7.72E-22,212,Drosophila navojoa,DS232821 - conserved hypothetical protein CDS translation
XP_023712229,30.50%,XP_023712229,uncharacterized protein LOC111867008 isoform X3 [Cryptotermes secundus],1.41E-21,194,Cryptotermes secundus,DS232821 - conserved hypothetical protein CDS translation
XP_023712227,30.50%,XP_023712227,uncharacterized protein LOC111867008 isoform X2 [Cryptotermes secundus],1.81E-21,194,Cryptotermes secundus,DS232821 - conserved hypothetical protein CDS translation
XP_008197566,26.80%,XP_008197566,PREDICTED: uncharacterized protein LOC662064 isoform X1 [Tribolium castaneum],2.58E-21,223,Tribolium castaneum,DS232821 - conserved hypothetical protein CDS translation
XP_976409,26.80%,XP_976409,PREDICTED: uncharacterized protein LOC662064 isoform X2 [Tribolium castaneum],2.73E-21,223,Tribolium castaneum,DS232821 - conserved hypothetical protein CDS translation
XP_023712226,30.50%,XP_023712226,uncharacterized protein LOC111867008 isoform X1 [Cryptotermes secundus],3.24E-21,194,Cryptotermes secundus,DS232821 - conserved hypothetical protein CDS translation
EFA10122,26.80%,EFA10122,hypothetical protein TcasGA2_TC012302 [Tribolium castaneum],3.47E-21,223,Tribolium castaneum,DS232821 - conserved hypothetical protein CDS translation
XP_001973384,29.70%,XP_001973384,uncharacterized protein Dere_GG13373 [Drosophila erecta],5.87E-21,220,Drosophila erecta,DS232821 - conserved hypothetical protein CDS translation
XP_001958296,32.40%,XP_001958296,uncharacterized protein Dana_GF10850 [Drosophila ananassae],1.42E-20,183,Drosophila ananassae,DS232821 - conserved hypothetical protein CDS translation
XP_011213260,27.50%,XP_011213260,PREDICTED: uncharacterized protein LOC105233026 [Bactrocera dorsalis],7.20E-20,228,Bactrocera dorsalis,DS232821 - conserved hypothetical protein CDS translation
XP_017009530,28.90%,XP_017009530,PREDICTED: uncharacterized protein LOC108065824 [Drosophila takahashii],1.23E-19,269,Drosophila takahashii,DS232821 - conserved hypothetical protein CDS translation
PSN45692,26.50%,PSN45692,hypothetical protein C0J52_11952 [Blattella germanica],2.27E-19,269,Blattella germanica,DS232821 - conserved hypothetical protein CDS translation
XP_002095568,25.80%,XP_002095568,"uncharacterized protein Dyak_GE22466, isoform A [Drosophila yakuba]",6.25E-19,255,Drosophila yakuba,DS232821 - conserved hypothetical protein CDS translation
EDX11122,25.90%,EDX11122,GD12251 [Drosophila simulans],1.21E-18,220,Drosophila simulans,DS232821 - conserved hypothetical protein CDS translation
NP_649149,26.40%,NP_649149,"torsin interacting protein, isoform A [Drosophila melanogaster]",2.16E-18,220,Drosophila melanogaster,DS232821 - conserved hypothetical protein CDS translation
XP_022218086,28.10%,XP_022218086,uncharacterized protein LOC111071193 [Drosophila obscura],2.88E-18,184,Drosophila obscura,DS232821 - conserved hypothetical protein CDS translation
XP_017121963,27.70%,XP_017121963,PREDICTED: uncharacterized protein LOC108142546 [Drosophila elegans],3.06E-18,232,Drosophila elegans,DS232821 - conserved hypothetical protein CDS translation
XP_017494774,26.50%,XP_017494774,PREDICTED: uncharacterized protein LOC108382918 [Rhagoletis zephyria],3.29E-18,185,Rhagoletis zephyria,DS232821 - conserved hypothetical protein CDS translation
XP_016924732,28.00%,XP_016924732,PREDICTED: uncharacterized protein LOC108005865 [Drosophila suzukii],4.71E-18,262,Drosophila suzukii,DS232821 - conserved hypothetical protein CDS translation
XP_018799440,28.40%,XP_018799440,PREDICTED: uncharacterized protein LOC108975420 isoform X1 [Bactrocera latifrons],5.01E-18,183,Bactrocera latifrons,DS232821 - conserved hypothetical protein CDS translation
XP_018578697,27.70%,XP_018578697,uncharacterized protein LOC108916872 [Anoplophora glabripennis],6.46E-18,184,Anoplophora glabripennis,DS232821 - conserved hypothetical protein CDS translation
XP_016032551,26.80%,XP_016032551,uncharacterized protein Dsimw501_GD12251 [Drosophila simulans],6.87E-18,220,Drosophila simulans,DS232821 - conserved hypothetical protein CDS translation
XP_002043614,25.50%,XP_002043614,GM16288 [Drosophila sechellia],1.17E-17,220,Drosophila sechellia,DS232821 - conserved hypothetical protein CDS translation
XP_017021209,29.60%,XP_017021209,PREDICTED: uncharacterized protein LOC108073923 [Drosophila kikkawai],2.61E-17,226,Drosophila kikkawai,DS232821 - conserved hypothetical protein CDS translation
XP_017071307,26.20%,XP_017071307,PREDICTED: uncharacterized protein LOC108107974 [Drosophila eugracilis],8.67E-17,262,Drosophila eugracilis,DS232821 - conserved hypothetical protein CDS translation
XP_016971134,26.70%,XP_016971134,PREDICTED: uncharacterized protein LOC108038801 [Drosophila rhopaloa],9.00E-17,220,Drosophila rhopaloa,DS232821 - conserved hypothetical protein CDS translation
SPP77240,22.70%,SPP77240,Hypothetical predicted protein [Drosophila guanche],9.77E-17,277,Drosophila guanche,DS232821 - conserved hypothetical protein CDS translation
,,,,,,,
Culicoides sonorensis,,,,,,,
,,,,,,,
Name,% Pairwise Identity,Accession,Description,E Value,Sequence length (aa),Organism,Query
XP_013111449,43.40%,XP_013111449,PREDICTED: uncharacterized protein LOC106089976 isoform X1 [Stomoxys calcitrans],1.06E-17,112,Stomoxys calcitrans,OGVF02003214 - ORF 4 (frame 3) translation
XP_023712229,34.90%,XP_023712229,uncharacterized protein LOC111867008 isoform X3 [Cryptotermes secundus],4.89E-17,109,Cryptotermes secundus,OGVF02003214 - ORF 4 (frame 3) translation
XP_023712226,34.90%,XP_023712226,uncharacterized protein LOC111867008 isoform X1 [Cryptotermes secundus],6.00E-17,109,Cryptotermes secundus,OGVF02003214 - ORF 4 (frame 3) translation
XP_023712227,34.90%,XP_023712227,uncharacterized protein LOC111867008 isoform X2 [Cryptotermes secundus],6.30E-17,109,Cryptotermes secundus,OGVF02003214 - ORF 4 (frame 3) translation
XP_011554942,37.40%,XP_011554942,PREDICTED: uncharacterized protein LOC105386138 isoform X2 [Plutella xylostella],3.34E-16,107,Plutella xylostella,OGVF02003214 - ORF 4 (frame 3) translation
XP_022901565,38.20%,XP_022901565,uncharacterized protein LOC111414450 [Onthophagus taurus],3.54E-16,110,Onthophagus taurus,OGVF02003214 - ORF 4 (frame 3) translation
XP_023027531,35.70%,XP_023027531,uncharacterized protein LOC111515546 [Leptinotarsa decemlineata],1.19E-15,112,Leptinotarsa decemlineata,OGVF02003214 - ORF 4 (frame 3) translation
XP_004537685,38.70%,XP_004537685,uncharacterized protein LOC101449319 [Ceratitis capitata],1.77E-15,111,Ceratitis capitata,OGVF02003214 - ORF 4 (frame 3) translation
XP_018578697,35.70%,XP_018578697,uncharacterized protein LOC108916872 [Anoplophora glabripennis],9.70E-15,115,Anoplophora glabripennis,OGVF02003214 - ORF 4 (frame 3) translation
XP_022127824,42.60%,XP_022127824,uncharacterized protein LOC111002024 isoform X3 [Pieris rapae],1.14E-14,107,Pieris rapae,OGVF02003214 - ORF 4 (frame 3) translation
XP_011554940,37.30%,XP_011554940,PREDICTED: uncharacterized protein LOC105386138 isoform X1 [Plutella xylostella],1.37E-14,110,Plutella xylostella,OGVF02003214 - ORF 4 (frame 3) translation
XP_022127815,42.60%,XP_022127815,uncharacterized protein LOC111002024 isoform X2 [Pieris rapae],1.48E-14,107,Pieris rapae,OGVF02003214 - ORF 4 (frame 3) translation
XP_022127809,42.60%,XP_022127809,uncharacterized protein LOC111002024 isoform X1 [Pieris rapae],1.85E-14,107,Pieris rapae,OGVF02003214 - ORF 4 (frame 3) translation
XP_014090934,37.30%,XP_014090934,PREDICTED: uncharacterized protein LOC106617965 isoform X2 [Bactrocera oleae],5.88E-14,110,Bactrocera oleae,OGVF02003214 - ORF 4 (frame 3) translation
